year,month,day,hour,sumCount
2019,9,1,16,1511196
2018,9,13,8,1814714
2018,9,9,17,1838565
2019,9,12,4,1194892
2019,9,1,20,1520548
2019,9,12,3,1190898
2018,9,9,21,1774967
2018,9,16,9,1846289
2019,9,1,22,1267227
2018,9,13,6,1650540
2018,9,21,7,1888696
2018,9,13,9,1856883
2018,9,9,16,1857446
2019,9,1,21,1474053
2018,9,9,18,1872963
2018,9,13,5,1557439
2018,9,13,10,1791206
2019,9,12,7,1387397
2019,9,1,18,1546252
2018,9,29,20,1866910
2019,9,17,4,1543379
2019,9,17,9,1631781
2019,9,24,18,1715189
2018,9,23,15,1941577
2018,9,29,15,1894548
2019,9,24,21,1459600
2019,9,17,8,1640749
2018,9,23,14,2002359
2019,9,17,6,1571140
2019,9,17,5,1514887
2018,9,26,15,2082854
2018,9,29,18,1808074
2018,9,29,16,1819659
2018,9,23,16,1896635
2018,9,23,18,2136636
2018,9,26,18,1984933
2018,9,26,17,2010668
2018,9,29,17,1837619
2018,9,29,19,1837302
2018,9,26,16,1982713
2018,9,10,7,1589563
2019,9,24,19,1867790
2018,9,26,14,2231301
2018,9,10,9,1698592
2019,9,24,22,1355839
2018,9,26,19,1984389
2018,9,10,13,1896010
2019,9,24,17,1895861
2018,9,10,12,1783928
2018,9,10,8,1633454
2018,9,23,19,2141616
2018,9,29,21,1777455
2018,9,10,10,1724745
2018,9,10,11,1731766
2019,9,17,7,1613442
2018,9,23,17,1885403
2019,9,24,20,1614879
2018,9,3,18,1816707
2018,9,12,19,2274271
2018,9,1,4,1497119
2018,9,3,14,1875775
2018,9,2,11,1555772
2019,9,18,11,1637168
2018,9,12,20,2060850
2018,9,3,15,1738805
2019,9,18,8,1585876
2018,9,18,17,2038922
2018,9,18,22,1610250
2018,9,1,5,1475419
2018,9,2,12,1641073
2018,9,3,20,1781232
2019,9,18,10,1599698
2018,9,2,10,1505211
2018,9,2,8,1487173
2018,9,1,1,1539935
2018,9,2,9,1480565
2019,9,18,9,1643344
2018,9,18,19,2077732
2019,9,18,12,1705670
2018,9,2,15,1722898
2018,9,18,23,1711031
2018,9,2,14,1683046
2018,9,18,18,1983309
2018,9,12,17,2239506
2018,9,12,18,2199334
2018,9,12,16,2365577
2018,9,1,7,1513643
2018,9,1,6,1554678
2018,9,18,20,2019735
2018,9,3,17,1743121
2018,9,1,3,1363639
2019,9,18,13,1697237
2018,9,3,16,1764421
2018,9,1,0,1553159
2018,9,2,13,1656978
2018,9,1,2,1490035
