_c0,_c1
1539842400,1869402
1539846000,1881637
1539849600,1897868
1539853200,1882348
1539856800,1916986
1539860400,1812927
1539864000,1880645
1539867600,1911510
1539871200,1908822
1539874800,1911161
1539878400,1807523
1539882000,1871299
1539885600,1962817
1539889200,1915880
1539892800,1940322
1539896400,1709632
1539900000,1481419
1539903600,1582374
1539907200,1463837
1539910800,1443579
1539914400,1497626
1539918000,1474183
1539921600,1515635
1539925200,1550405
1539928800,1617711
1539932400,1672842
1539936000,1938985
1539939600,1734094
1539943200,1863807
1539946800,1675239
1539950400,1686314
1539954000,1760573
1539957600,1971111
1539961200,1802876
1539964800,1730369
1539968400,1665768
1539972000,1688841
1539975600,1664296
1539979200,1782815
1539982800,1684120
1539986400,1708309
1539990000,1627916
1539993600,1481935
1539997200,1365788
1540000800,1466321
1540004400,1431704
1540008000,1409869
1540011600,1440742
1540015200,1533713
1540018800,1697096
1540022400,1712416
1540026000,1811050
1540029600,1708891
1540033200,1749489
1540036800,1762511
1540040400,1732419
1540044000,1663543
1540047600,1701963
1540051200,1726809
1540054800,1697270
1540058400,1730659
1540062000,1679713
1540065600,1687084
1540069200,1491629
1540072800,1301000
1540076400,1243689
1540080000,1245337
1540083600,1208492
1540087200,1184799
1540090800,1274793
1540094400,1348465
1540098000,1331584
1540101600,1439455
1540105200,1503986
1540108800,1588325
1540112400,1570626
1540116000,1614324
1540119600,1641661
1540123200,1705997
1540126800,1795403
1540130400,1827001
1540134000,1748645
1540137600,1824172
1540141200,1860046
1540144800,1893494
1540148400,1884436
1540152000,1776617
1540155600,1598386
1540159200,1468085
1540162800,1517765
1540166400,1417167
1540170000,1447252
1540173600,1487227
1540177200,1405056
1540180800,1400985
1540184400,1366364
1540188000,1549147
1540191600,1656702
1540195200,1678237
1540198800,1666962
1540202400,1742596
1540206000,1750228
1540209600,1848698
1540213200,1957406
1540216800,1932909
1540220400,1921034
1540224000,1983060
1540227600,1968640
1540231200,2085135
1540234800,2293336
1540238400,2113651
